number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,Helicopter,Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocks and Minerals,Water Quality
88,Westview High School,Deep Fried Butter,,Portland,OR,,18,900,14,12,89,89,48,45,10,43,28,37,89,48,18,36,89,89,21,18,41,6,19,11
7,BASIS Pflugerville,,,Pflugerville,TX,,19,901,68,62,10,6,38,43,54,37,59,48,14,59,48,56,9,89,53,30,54,9,48,7
82,The Frazer School,Pocket Aces,,Gainesville,FL,,20,909,3,18,89,89,9,2,58,2,89,5,89,14,89,26,89,89,17,10,18,89,6,9
50,McNeil High IB World School,,,Austin,TX,,21,914,18,42,89,89,53,48,42,58,12,89,13,46,28,33,5,1,51,28,47,2,89,31
80,The Frazer School,All In,,Gainesville,FL,,22,917,37,1,89,89,5,89,43,36,16,1,89,50,30,41,89,89,3,16,5,89,5,5
45,Liberal Arts and Science Academy,Electron,,Austin,TX,,23,919,63,26,89,89,52,19,8,89,62,49,1,31,48,8,89,7,27,2,11,89,20,40
87,Westlake High School,,,Austin,TX,,24,974,15,16,89,89,63,34,37,22,27,15,15,42,19,55,89,89,22,35,38,89,45,29
84,Valencia High School,Blue,,Placentia,CA,,25,976,40,58,8,89,16,42,89,53,33,22,7,23,89,51,7,89,41,58,32,11,59,59
39,John Jay High School,Navy Blue,,Hopewell Junction,NY,,26,999,43,14,89,89,17,24,4,60,37,30,89,18,17,50,89,89,26,34,44,89,33,14
85,Valencia High School,Gold,,Placentia,CA,,27,1012,50,63,89,89,51,18,18,89,6,20,89,30,2,17,4,89,60,46,60,3,53,66
24,Fulton Science Academy,3,,Alpharetta,GA,,28,1021,47,19,89,89,22,12,22,11,89,89,89,15,24,7,89,89,15,26,14,89,47,28
76,The College Preparatory School,Atoms,,Oakland,CA,,29,1030,34,9,89,89,34,9,34,57,52,14,89,34,29,31,89,89,42,4,23,89,40,50
79,The Frazer School,3-Bet,,Gainesville,FL,,30,1050,24,89,89,89,26,28,44,27,60,89,89,10,46,16,89,89,18,1,10,89,11,17
62,Monta Vista High School,Yellow,,Cupertino,CA,,31,1068,31,13,89,89,89,20,2,21,15,11,89,7,13,89,89,89,89,13,29,89,3,89
68,River City Science Academy Middle-High School,RaPtors,,Jacksonville,FL,,32,1072,26,31,6,89,59,32,35,40,40,17,89,44,44,37,89,89,54,42,39,89,39,42
5,BASIS Independent Fremont,Primase,,Fremont,CA,,33,1075,19,20,7,89,25,89,14,26,89,54,89,54,22,25,89,89,16,52,28,89,28,62
3,BASIS Cedar Park,B,,Cedar Park,TX,,34,1089,5,55,89,11,39,38,13,9,48,60,15,63,48,14,89,89,89,36,89,89,56,45
