number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,GeoWizard (Trial),Helicopter,History of Science (Trial),Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocket Science (Trial),Rocks and Minerals,Science Word (Trial),Silicon Showdown (Trial),Water Quality
6,Cypress Creek High School,Team A,,Houston,TX,,17,488,15,22,39,18,19,12,46,23,31,11,22,48,13,8,25,5,17,21,20,32,25,10,16,37,20,8,11
15,Westlake High School,Team A,,Austin,TX,,18,501,6,28,36,33,38,28,23,14,10,6,28,13,4,17,61,15,5,62,29,39,10,15,61,20,3,61,27
39,Roosevelt High School,Team A,,San Antonio,TX,,19,538,38,29,34,11,46,24,17,39,16,22,15,12,8,39,9,24,4,11,8,36,17,61,21,19,16,4,12
42,Kempner High School,Team B,,Sugar Land,TX,,20,610,28,40,6,32,35,18,22,36,34,20,4,39,14,40,38,31,7,61,31,17,30,22,26,27,21,15,23
33,Stephen F. Austin High School,Team C,,Austin,TX,,21,613,31,20,32,39,33,34,27,27,41,39,31,11,39,43,23,2,24,22,18,30,29,21,28,22,35,16,22
47,Prestonwood Christian Academy,Team B,,Plano,TX,,22,618,48,11,25,19,37,48,20,49,46,19,5,42,28,20,19,33,61,19,10,18,40,11,61,39,45,61,31
26,McNeil High IB World School,Team A,,Austin,TX,,23,640,7,61,61,61,48,32,12,18,6,61,11,16,21,15,12,11,61,18,13,25,61,4,20,61,25,21,17
38,Cypress Woods High School,Team B,,Cypress,TX,,24,648,45,35,14,41,42,36,31,21,33,26,20,17,30,26,15,23,12,62,30,35,44,13,29,10,27,24,14
7,Cypress Creek High School,Team B,,Houston,TX,,25,668,42,27,30,21,18,40,34,33,40,30,31,46,31,37,41,6,22,15,27,14,24,29,36,49,39,28,44
9,Tomball High School,,,Tomball,TX,,26,684,36,32,19,14,14,25,45,61,18,35,31,30,41,50,2,25,31,61,16,20,22,27,2,43,31,5,19
30,Jersey Village High School,,,Houston,TX,,27,686,20,43,24,10,51,39,42,22,29,25,17,29,23,28,31,27,13,62,19,31,34,23,25,38,17,29,50
